age,workclass,fnlwgt,education,martial-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,label
teens(10-20),Private,27.0,HS-grad,Married-AF-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,25.0,United-States,less-than-50K
30s,Private,4.0,Some-college,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,38.0,unknown,more-than-50K
40s,Self-emp-not-inc,13.0,Assoc-acdm,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,less-than-50K
30s,Private,25.0,9th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,43.0,United-States,less-than-50K
50s,Self-emp-not-inc,4.0,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,less-than-50K
20s,Private,8.0,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,50.0,United-States,less-than-50K
40s,Private,4.0,HS-grad,Separated,Adm-clerical,Unmarried,White,Female,0.0,0.0,40.0,United-States,less-than-50K
20s,Private,14.0,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Male,0.0,0.0,35.0,United-States,less-than-50K
50s,Federal-gov,16.0,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0.0,0.0,40.0,United-States,more-than-50K
50s,Private,7.0,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,38.0,United-States,less-than-50K
40s,Private,6.0,Masters,Divorced,Exec-managerial,Unmarried,White,Female,0.0,0.0,40.0,United-States,less-than-50K
40s,State-gov,5.0,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,less-than-50K
20s,Private,13.0,Assoc-voc,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,43.0,United-States,less-than-50K
20s,Private,1.0,Some-college,Married-civ-spouse,Exec-managerial,Wife,Other,Female,0.0,0.0,40.0,United-States,less-than-50K
teens(10-20),Private,11.0,HS-grad,Never-married,Other-service,Own-child,White,Female,0.0,0.0,30.0,unknown,less-than-50K
40s,Private,2.0,Prof-school,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,19.0,60.0,Honduras,more-than-50K
50s,Federal-gov,12.0,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Male,0.0,0.0,55.0,United-States,more-than-50K
40s,Self-emp-inc,5.0,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Male,0.0,0.0,60.0,United-States,less-than-50K
40s,Private,11.0,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,40.0,United-States,more-than-50K
40s,Private,10.0,5th-6th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,Mexico,less-than-50K
30s,Private,2.0,Assoc-voc,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,40.0,Puerto-Rico,less-than-50K
40s,Private,7.0,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,48.0,United-States,less-than-50K
30s,Private,9.0,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,5.0,0.0,40.0,United-States,less-than-50K
30s,Private,2.0,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,2.0,0.0,40.0,United-States,less-than-50K
30s,unknown,14.0,7th-8th,Married-spouse-absent,unknown,Not-in-family,White,Male,0.0,0.0,40.0,unknown,less-than-50K
40s,Private,7.0,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40.0,United-States,less-than-50K
40s,Private,5.0,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,45.0,United-States,more-than-50K
20s,Private,5.0,Some-college,Divorced,Tech-support,Not-in-family,White,Male,0.0,0.0,58.0,United-States,less-than-50K
30s,Private,7.0,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,less-than-50K
20s,Private,9.0,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States,less-than-50K
50s,Private,8.0,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,40.0,United-States,more-than-50K
40s,Self-emp-inc,9.0,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,50.0,United-States,more-than-50K
20s,unknown,10.0,Some-college,Never-married,unknown,Own-child,White,Male,0.0,0.0,40.0,United-States,less-than-50K
teens(10-20),Private,5.0,Some-college,Never-married,Prof-specialty,Own-child,White,Male,0.0,0.0,32.0,United-States,less-than-50K
30s,Private,15.0,Bachelors,Separated,Sales,Own-child,Black,Female,0.0,0.0,40.0,United-States,less-than-50K
20s,Self-emp-not-inc,8.0,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,70.0,United-States,more-than-50K
20s,Private,10.0,Some-college,Never-married,Machine-op-inspct,Not-in-family,White,Male,0.0,0.0,40.0,United-States,less-than-50K
70s,Private,6.0,Some-college,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,0.0,0.0,20.0,United-States,less-than-50K
20s,Private,10.0,HS-grad,Never-married,Other-service,Own-child,White,Male,0.0,0.0,40.0,Mexico,less-than-50K
40s,Private,1.0,Assoc-acdm,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,40.0,United-States,less-than-50K
60s,unknown,10.0,10th,Married-civ-spouse,unknown,Husband,White,Male,0.0,0.0,2.0,United-States,less-than-50K
teens(10-20),Private,15.0,11th,Never-married,Other-service,Own-child,White,Female,0.0,0.0,22.0,United-States,less-than-50K
30s,Local-gov,6.0,7th-8th,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,40.0,United-States,less-than-50K
teens(10-20),Private,22.0,HS-grad,Never-married,Sales,Not-in-family,White,Male,0.0,0.0,30.0,United-States,less-than-50K
50s,Private,13.0,Bachelors,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,40.0,Cuba,less-than-50K
40s,Private,2.0,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,0.0,0.0,40.0,United-States,less-than-50K
50s,Private,7.0,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,48.0,United-States,less-than-50K
40s,Private,17.0,HS-grad,Divorced,Craft-repair,Not-in-family,White,Female,14.0,0.0,40.0,United-States,more-than-50K
50s,Private,17.0,HS-grad,Divorced,Sales,Own-child,White,Female,0.0,0.0,35.0,United-States,less-than-50K
40s,Local-gov,13.0,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,40.0,United-States,more-than-50K
30s,Private,10.0,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,50.0,United-States,less-than-50K
30s,Private,2.0,9th,Never-married,Sales,Not-in-family,White,Male,0.0,0.0,40.0,United-States,less-than-50K
40s,Federal-gov,20.0,Doctorate,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,50.0,United-States,more-than-50K
50s,Private,12.0,Assoc-voc,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,less-than-50K
30s,Private,14.0,Some-college,Divorced,Craft-repair,Unmarried,White,Female,0.0,0.0,40.0,United-States,less-than-50K
20s,Private,10.0,Some-college,Divorced,Machine-op-inspct,Unmarried,Black,Female,0.0,0.0,25.0,United-States,less-than-50K
30s,Private,5.0,HS-grad,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,Female,0.0,15.0,35.0,unknown,less-than-50K
30s,Local-gov,11.0,Bachelors,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,40.0,United-States,more-than-50K
20s,Local-gov,5.0,Some-college,Never-married,Handlers-cleaners,Not-in-family,White,Male,0.0,0.0,50.0,United-States,less-than-50K
40s,Self-emp-not-inc,9.0,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,19.0,60.0,United-States,more-than-50K
30s,Private,10.0,Some-college,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,48.0,United-States,more-than-50K
40s,Private,8.0,Assoc-acdm,Divorced,Exec-managerial,Unmarried,White,Female,0.0,0.0,40.0,England,less-than-50K
30s,Federal-gov,12.0,HS-grad,Never-married,Other-service,Own-child,Black,Male,0.0,0.0,40.0,United-States,less-than-50K
70s,Private,6.0,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,more-than-50K
40s,Private,9.0,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,15.0,0.0,60.0,United-States,more-than-50K
40s,Self-emp-not-inc,7.0,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,50.0,United-States,less-than-50K
20s,Private,9.0,Some-college,Never-married,Tech-support,Own-child,White,Female,0.0,0.0,40.0,United-States,less-than-50K
20s,Private,5.0,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,40.0,United-States,less-than-50K
30s,Self-emp-inc,15.0,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,7.0,0.0,40.0,United-States,more-than-50K
teens(10-20),unknown,15.0,10th,Never-married,unknown,Own-child,White,Female,34.0,0.0,32.0,United-States,less-than-50K
30s,Private,9.0,11th,Never-married,Handlers-cleaners,Own-child,White,Male,0.0,0.0,40.0,United-States,less-than-50K
30s,Local-gov,9.0,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States,less-than-50K
40s,Private,6.0,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,40.0,United-States,less-than-50K
20s,Private,21.0,Bachelors,Never-married,Sales,Other-relative,White,Male,0.0,0.0,40.0,United-States,less-than-50K
30s,Private,3.0,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,more-than-50K
50s,Self-emp-not-inc,16.0,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,0.0,18.0,50.0,Canada,more-than-50K
20s,Private,18.0,Some-college,Married-civ-spouse,Sales,Wife,White,Female,4.0,0.0,25.0,United-States,less-than-50K
30s,Private,5.0,HS-grad,Never-married,Machine-op-inspct,Own-child,White,Female,0.0,0.0,40.0,United-States,less-than-50K
50s,Private,4.0,9th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,50.0,United-States,less-than-50K
50s,Self-emp-inc,15.0,Some-college,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,50.0,United-States,less-than-50K
40s,Local-gov,9.0,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,Black,Male,0.0,0.0,40.0,United-States,more-than-50K
50s,Private,12.0,Some-college,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,56.0,United-States,less-than-50K
20s,Private,5.0,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,41.0,United-States,less-than-50K
20s,Private,9.0,Some-college,Never-married,Other-service,Own-child,White,Female,0.0,0.0,40.0,United-States,less-than-50K
40s,Private,5.0,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,60.0,United-States,less-than-50K
30s,Private,3.0,Bachelors,Never-married,Exec-managerial,Own-child,Black,Male,0.0,0.0,40.0,Germany,less-than-50K
20s,State-gov,13.0,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,50.0,United-States,more-than-50K
teens(10-20),Private,15.0,Some-college,Never-married,Other-service,Own-child,Black,Male,0.0,0.0,35.0,United-States,less-than-50K
40s,Private,14.0,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,Female,0.0,0.0,40.0,United-States,more-than-50K
20s,Private,5.0,Some-college,Never-married,Adm-clerical,Own-child,White,Female,0.0,17.0,28.0,United-States,less-than-50K
30s,Private,5.0,Assoc-acdm,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,40.0,United-States,more-than-50K
30s,unknown,6.0,HS-grad,Married-civ-spouse,unknown,Husband,White,Male,0.0,0.0,40.0,United-States,less-than-50K
30s,Private,18.0,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,0.0,0.0,40.0,United-States,less-than-50K
20s,Private,3.0,Assoc-acdm,Never-married,Sales,Not-in-family,White,Female,0.0,0.0,60.0,United-States,less-than-50K
20s,Private,2.0,HS-grad,Never-married,Other-service,Not-in-family,White,Female,0.0,17.0,40.0,United-States,less-than-50K
30s,Self-emp-not-inc,6.0,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,4.0,0.0,35.0,United-States,less-than-50K
30s,Private,12.0,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,50.0,United-States,less-than-50K
40s,Private,7.0,Assoc-acdm,Divorced,Tech-support,Not-in-family,Black,Female,0.0,0.0,36.0,United-States,less-than-50K
30s,Federal-gov,6.0,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,Iran,more-than-50K
40s,Self-emp-not-inc,2.0,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,60.0,United-States,less-than-50K
20s,Private,8.0,Assoc-voc,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,35.0,United-States,less-than-50K
20s,Private,1.0,Some-college,Never-married,Sales,Own-child,White,Male,0.0,0.0,20.0,United-States,less-than-50K
40s,Private,4.0,Some-college,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0.0,0.0,40.0,United-States,more-than-50K
60s,Self-emp-inc,3.0,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,less-than-50K
20s,Private,11.0,Some-college,Never-married,Sales,Own-child,White,Female,0.0,0.0,40.0,United-States,less-than-50K
teens(10-20),Private,15.0,Some-college,Never-married,Other-service,Own-child,White,Male,0.0,0.0,30.0,Mexico,less-than-50K
40s,Private,9.0,Assoc-voc,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,15.0,40.0,United-States,more-than-50K
70s,Private,5.0,Some-college,Never-married,Tech-support,Other-relative,White,Male,0.0,0.0,40.0,United-States,less-than-50K
30s,Private,9.0,HS-grad,Never-married,Transport-moving,Unmarried,Black,Female,0.0,0.0,30.0,United-States,less-than-50K
20s,Private,8.0,Some-college,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,24.0,United-States,less-than-50K
30s,Private,5.0,HS-grad,Widowed,Other-service,Unmarried,White,Female,0.0,0.0,24.0,United-States,less-than-50K
60s,Private,9.0,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,21.0,40.0,United-States,less-than-50K
40s,unknown,8.0,Some-college,Divorced,unknown,Not-in-family,White,Female,0.0,0.0,40.0,United-States,less-than-50K
40s,Local-gov,9.0,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,0.0,0.0,38.0,Mexico,less-than-50K
30s,Private,9.0,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States,less-than-50K
30s,Private,8.0,Bachelors,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,0.0,0.0,40.0,Philippines,less-than-50K
20s,Private,14.0,HS-grad,Never-married,Craft-repair,Own-child,White,Male,0.0,0.0,35.0,United-States,less-than-50K
50s,unknown,12.0,HS-grad,Divorced,unknown,Not-in-family,White,Male,0.0,0.0,45.0,United-States,more-than-50K
40s,Private,9.0,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,46.0,United-States,less-than-50K
20s,Private,10.0,Bachelors,Never-married,Handlers-cleaners,Not-in-family,White,Male,0.0,0.0,40.0,United-States,less-than-50K
70s,Self-emp-not-inc,24.0,Some-college,Separated,Sales,Unmarried,Black,Male,0.0,18.0,2.0,United-States,less-than-50K
20s,Private,9.0,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,0.0,0.0,60.0,United-States,less-than-50K
40s,Private,11.0,Bachelors,Separated,Other-service,Other-relative,Black,Male,0.0,0.0,50.0,United-States,less-than-50K
60s,unknown,1.0,1st-4th,Divorced,unknown,Not-in-family,White,Female,0.0,0.0,20.0,United-States,less-than-50K
20s,Private,12.0,HS-grad,Never-married,Other-service,Unmarried,White,Female,0.0,0.0,40.0,United-States,less-than-50K
40s,Self-emp-inc,3.0,Masters,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,0.0,0.0,40.0,United-States,less-than-50K
20s,Private,4.0,HS-grad,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,0.0,0.0,40.0,England,less-than-50K
40s,Self-emp-not-inc,10.0,Masters,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,more-than-50K
30s,Private,10.0,Some-college,Divorced,Other-service,Unmarried,White,Female,0.0,0.0,40.0,Mexico,less-than-50K
30s,Federal-gov,11.0,Assoc-acdm,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,0.0,42.0,United-States,less-than-50K
40s,State-gov,5.0,Masters,Widowed,Protective-serv,Unmarried,White,Male,0.0,0.0,40.0,United-States,less-than-50K
teens(10-20),Private,1.0,11th,Never-married,Handlers-cleaners,Own-child,White,Male,0.0,0.0,16.0,United-States,less-than-50K
60s,Local-gov,2.0,Assoc-voc,Widowed,Prof-specialty,Not-in-family,White,Female,0.0,0.0,20.0,United-States,less-than-50K
20s,Private,6.0,HS-grad,Never-married,Other-service,Not-in-family,White,Male,0.0,19.0,40.0,United-States,less-than-50K
20s,State-gov,8.0,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,40.0,United-States,less-than-50K
50s,Private,4.0,Some-college,Married-civ-spouse,Sales,Husband,White,Male,0.0,19.0,40.0,United-States,more-than-50K
20s,Private,21.0,Bachelors,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,50.0,United-States,less-than-50K
20s,State-gov,7.0,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,more-than-50K
20s,Private,12.0,HS-grad,Married-spouse-absent,Sales,Unmarried,White,Female,0.0,0.0,25.0,United-States,less-than-50K
20s,Private,15.0,HS-grad,Never-married,Craft-repair,Own-child,Black,Male,0.0,0.0,40.0,United-States,less-than-50K
30s,Private,24.0,HS-grad,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0.0,0.0,40.0,United-States,less-than-50K
teens(10-20),Private,9.0,HS-grad,Never-married,Other-service,Own-child,White,Male,0.0,0.0,12.0,United-States,less-than-50K
30s,Private,1.0,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,65.0,United-States,less-than-50K
40s,Local-gov,9.0,Some-college,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0.0,0.0,38.0,United-States,more-than-50K
40s,Private,5.0,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States,less-than-50K
30s,Private,31.0,Some-college,Never-married,Craft-repair,Not-in-family,Black,Male,0.0,0.0,45.0,United-States,less-than-50K
40s,Private,14.0,7th-8th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,Mexico,more-than-50K
30s,Federal-gov,1.0,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,42.0,United-States,more-than-50K
30s,Private,15.0,HS-grad,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0.0,0.0,40.0,United-States,less-than-50K
40s,Self-emp-not-inc,7.0,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Female,0.0,0.0,40.0,United-States,less-than-50K
50s,unknown,6.0,Bachelors,Divorced,unknown,Not-in-family,White,Female,0.0,0.0,50.0,United-States,less-than-50K
30s,Private,4.0,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,0.0,50.0,United-States,less-than-50K
50s,State-gov,5.0,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,1.0,United-States,more-than-50K
30s,Private,7.0,Some-college,Divorced,Machine-op-inspct,Not-in-family,Black,Female,0.0,0.0,28.0,United-States,less-than-50K
20s,Private,7.0,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,United-States,less-than-50K
40s,Local-gov,26.0,Bachelors,Married-civ-spouse,Craft-repair,Husband,Black,Male,0.0,0.0,40.0,United-States,less-than-50K
40s,Private,6.0,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,45.0,United-States,less-than-50K
40s,Federal-gov,6.0,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,24.0,United-States,less-than-50K
20s,Private,9.0,5th-6th,Married-civ-spouse,Transport-moving,Other-relative,White,Male,0.0,0.0,40.0,Mexico,less-than-50K
30s,Private,4.0,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,0.0,0.0,40.0,United-States,less-than-50K
40s,Federal-gov,2.0,Masters,Never-married,Exec-managerial,Not-in-family,White,Female,14.0,0.0,55.0,United-States,more-than-50K
30s,Private,6.0,Masters,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,7.0,0.0,40.0,United-States,more-than-50K
20s,Self-emp-not-inc,1.0,HS-grad,Never-married,Sales,Not-in-family,White,Male,0.0,0.0,40.0,United-States,less-than-50K
20s,Private,19.0,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,18.0,40.0,United-States,less-than-50K
teens(10-20),unknown,8.0,HS-grad,Never-married,unknown,Own-child,White,Male,0.0,0.0,40.0,Italy,less-than-50K
50s,Private,12.0,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,50.0,United-States,more-than-50K
40s,Local-gov,12.0,Some-college,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,13.0,40.0,United-States,less-than-50K
30s,State-gov,2.0,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,0.0,0.0,35.0,United-States,less-than-50K
teens(10-20),Private,7.0,11th,Never-married,Sales,Own-child,White,Female,0.0,0.0,40.0,United-States,less-than-50K
30s,Private,6.0,Bachelors,Married-civ-spouse,Other-service,Husband,Black,Male,7.0,0.0,36.0,United-States,more-than-50K
30s,Private,1.0,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,0.0,0.0,60.0,United-States,less-than-50K
50s,Self-emp-inc,10.0,HS-grad,Married-civ-spouse,Sales,Wife,White,Female,15.0,0.0,35.0,United-States,more-than-50K
teens(10-20),Private,3.0,11th,Never-married,Sales,Own-child,White,Female,0.0,0.0,12.0,United-States,less-than-50K
40s,Local-gov,8.0,HS-grad,Married-civ-spouse,Transport-moving,Husband,Black,Male,0.0,0.0,40.0,United-States,less-than-50K
30s,Private,10.0,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,more-than-50K
