checking-account-status,duration-months,credit-history,purpose,credit-amount,saving-account-status,employment-status,disposable-income-percent,sex,other-debts,current-residence-time,property-type,age,installment-plans,housing,num-credit-lines,job-type,num-dependents,telephone,foreigner,label
0-200DM,18.0,existing-credit-paid-on-time,new-car,5866.0,100-500DM,1-4yr,2.0,male,none,2.0,car,30.0,none,own,2.0,low-skill-employed,1.0,yes,yes,not-risky
no-account,12.0,critical-accounts,buisness,1264.0,unknown-nosavings,7+yr,4.0,male,none,4.0,unknown,57.0,none,rent,1.0,unemployed(resident),1.0,none,yes,not-risky
200+DM,12.0,existing-credit-paid-on-time,furniture,1474.0,<100DM,<1yr,4.0,female,none,1.0,insurance,33.0,bank,own,1.0,high-skill-employed,1.0,yes,yes,not-risky
0-200DM,45.0,critical-accounts,radio-television,4746.0,<100DM,<1yr,4.0,male,none,2.0,insurance,25.0,none,own,2.0,unemployed(resident),1.0,none,yes,risky
no-account,48.0,critical-accounts,education,6110.0,<100DM,1-4yr,1.0,male,none,3.0,unknown,31.0,bank,free,1.0,low-skill-employed,1.0,yes,yes,not-risky
200+DM,18.0,existing-credit-paid-on-time,radio-television,2100.0,<100DM,1-4yr,4.0,male,co-applicant,2.0,real-estate,37.0,stores,own,1.0,low-skill-employed,1.0,none,yes,risky
200+DM,10.0,existing-credit-paid-on-time,domestic-appliance,1225.0,<100DM,1-4yr,2.0,male,none,2.0,car,37.0,none,own,1.0,low-skill-employed,1.0,yes,yes,not-risky
0-200DM,9.0,existing-credit-paid-on-time,radio-television,458.0,<100DM,1-4yr,4.0,male,none,3.0,real-estate,24.0,none,own,1.0,low-skill-employed,1.0,none,yes,not-risky
no-account,30.0,existing-credit-paid-on-time,radio-television,2333.0,500-1000DM,7+yr,4.0,male,none,2.0,car,30.0,bank,own,1.0,high-skill-employed,1.0,none,yes,not-risky
0-200DM,12.0,existing-credit-paid-on-time,radio-television,1158.0,500-1000DM,1-4yr,3.0,male,none,1.0,car,26.0,none,own,1.0,low-skill-employed,1.0,yes,yes,not-risky
0-200DM,18.0,day-in-paying-credit,repairs,6204.0,<100DM,1-4yr,2.0,male,none,4.0,real-estate,44.0,none,own,1.0,unemployed(resident),2.0,yes,yes,not-risky
owe-money,30.0,critical-accounts,used-car,6187.0,100-500DM,4-7yr,1.0,male,none,4.0,car,24.0,none,rent,2.0,low-skill-employed,1.0,none,yes,not-risky
owe-money,48.0,critical-accounts,used-car,6143.0,<100DM,7+yr,4.0,female,none,4.0,unknown,58.0,stores,free,2.0,unemployed(resident),1.0,none,yes,risky
no-account,11.0,critical-accounts,new-car,1393.0,<100DM,<1yr,4.0,female,none,4.0,car,35.0,none,own,2.0,high-skill-employed,1.0,none,yes,not-risky
no-account,36.0,existing-credit-paid-on-time,radio-television,2299.0,500-1000DM,7+yr,4.0,male,none,4.0,car,39.0,none,own,1.0,low-skill-employed,1.0,none,yes,not-risky
owe-money,6.0,existing-credit-paid-on-time,used-car,1352.0,500-1000DM,unemployed,1.0,female,none,2.0,insurance,23.0,none,rent,1.0,unemployed(non-resident),1.0,yes,yes,not-risky
no-account,11.0,critical-accounts,new-car,7228.0,<100DM,1-4yr,1.0,male,none,4.0,insurance,39.0,none,own,2.0,unemployed(resident),1.0,none,yes,not-risky
no-account,12.0,existing-credit-paid-on-time,radio-television,2073.0,100-500DM,1-4yr,4.0,female,co-applicant,2.0,real-estate,28.0,none,own,1.0,low-skill-employed,1.0,none,yes,not-risky
0-200DM,24.0,day-in-paying-credit,furniture,2333.0,unknown-nosavings,<1yr,4.0,male,none,2.0,insurance,29.0,bank,own,1.0,unemployed(resident),1.0,none,yes,not-risky
0-200DM,27.0,day-in-paying-credit,used-car,5965.0,<100DM,7+yr,1.0,male,none,2.0,car,30.0,none,own,2.0,high-skill-employed,1.0,yes,yes,not-risky
no-account,12.0,existing-credit-paid-on-time,radio-television,1262.0,<100DM,1-4yr,3.0,male,none,2.0,car,25.0,none,own,1.0,low-skill-employed,1.0,none,yes,not-risky
no-account,18.0,existing-credit-paid-on-time,used-car,3378.0,unknown-nosavings,1-4yr,2.0,male,none,1.0,insurance,31.0,none,own,1.0,low-skill-employed,1.0,yes,yes,not-risky
0-200DM,36.0,day-in-paying-credit,new-car,2225.0,<100DM,7+yr,4.0,male,none,4.0,unknown,57.0,bank,free,2.0,low-skill-employed,1.0,yes,yes,risky
no-account,6.0,cur-ank-all-credit-paid-on-time,new-car,783.0,unknown-nosavings,1-4yr,1.0,male,guarantor,2.0,real-estate,26.0,stores,own,1.0,unemployed(resident),2.0,none,yes,not-risky
0-200DM,12.0,existing-credit-paid-on-time,radio-television,6468.0,unknown-nosavings,unemployed,2.0,male,none,1.0,unknown,52.0,none,own,1.0,high-skill-employed,1.0,yes,yes,risky
no-account,36.0,critical-accounts,radio-television,9566.0,<100DM,1-4yr,2.0,female,none,2.0,car,31.0,stores,own,2.0,low-skill-employed,1.0,none,yes,not-risky
200+DM,18.0,existing-credit-paid-on-time,new-car,1961.0,<100DM,7+yr,3.0,female,none,2.0,car,23.0,none,own,1.0,high-skill-employed,1.0,none,yes,not-risky
owe-money,36.0,critical-accounts,furniture,6229.0,<100DM,<1yr,4.0,female,co-applicant,4.0,unknown,23.0,none,rent,2.0,unemployed(resident),1.0,yes,yes,risky
0-200DM,9.0,existing-credit-paid-on-time,buisness,1391.0,<100DM,1-4yr,2.0,male,none,1.0,real-estate,27.0,bank,own,1.0,low-skill-employed,1.0,yes,yes,not-risky
0-200DM,15.0,critical-accounts,radio-television,1537.0,unknown-nosavings,7+yr,4.0,male,guarantor,4.0,real-estate,50.0,none,own,2.0,low-skill-employed,1.0,yes,yes,not-risky
0-200DM,36.0,all-credit-paid-on-time,buisness,1953.0,<100DM,7+yr,4.0,male,none,4.0,unknown,61.0,none,free,1.0,high-skill-employed,1.0,yes,yes,risky
0-200DM,48.0,all-credit-paid-on-time,buisness,14421.0,<100DM,1-4yr,2.0,male,none,2.0,car,25.0,none,own,1.0,low-skill-employed,1.0,yes,yes,risky
no-account,24.0,existing-credit-paid-on-time,radio-television,3181.0,<100DM,<1yr,4.0,female,none,4.0,insurance,26.0,none,own,1.0,low-skill-employed,1.0,yes,yes,not-risky
no-account,27.0,existing-credit-paid-on-time,repairs,5190.0,unknown-nosavings,7+yr,4.0,male,none,4.0,insurance,48.0,none,own,4.0,low-skill-employed,2.0,yes,yes,not-risky
no-account,12.0,existing-credit-paid-on-time,radio-television,2171.0,<100DM,<1yr,2.0,female,none,2.0,car,29.0,bank,own,1.0,low-skill-employed,1.0,none,yes,not-risky
0-200DM,12.0,existing-credit-paid-on-time,new-car,1007.0,1000+DM,1-4yr,4.0,male,none,1.0,real-estate,22.0,none,own,1.0,low-skill-employed,1.0,none,yes,not-risky
no-account,36.0,existing-credit-paid-on-time,education,1819.0,<100DM,1-4yr,4.0,male,none,4.0,unknown,37.0,stores,free,1.0,low-skill-employed,1.0,yes,yes,risky
no-account,36.0,existing-credit-paid-on-time,radio-television,2394.0,unknown-nosavings,1-4yr,4.0,female,none,4.0,car,25.0,none,own,1.0,low-skill-employed,1.0,none,yes,not-risky
no-account,36.0,existing-credit-paid-on-time,used-car,8133.0,<100DM,1-4yr,1.0,female,none,2.0,insurance,30.0,bank,own,1.0,low-skill-employed,1.0,none,yes,not-risky
no-account,7.0,critical-accounts,radio-television,730.0,unknown-nosavings,7+yr,4.0,male,none,2.0,insurance,46.0,none,rent,2.0,unemployed(resident),1.0,yes,yes,not-risky
owe-money,8.0,critical-accounts,others,1164.0,<100DM,7+yr,3.0,male,none,4.0,unknown,51.0,bank,free,2.0,high-skill-employed,2.0,yes,yes,not-risky
0-200DM,42.0,critical-accounts,buisness,5954.0,<100DM,4-7yr,2.0,female,none,1.0,real-estate,41.0,bank,own,2.0,unemployed(resident),1.0,none,yes,not-risky
owe-money,36.0,existing-credit-paid-on-time,education,1977.0,unknown-nosavings,7+yr,4.0,male,none,4.0,unknown,40.0,none,own,1.0,high-skill-employed,1.0,yes,yes,risky
owe-money,12.0,critical-accounts,used-car,1526.0,<100DM,7+yr,4.0,male,none,4.0,unknown,66.0,none,free,2.0,high-skill-employed,1.0,none,yes,not-risky
owe-money,42.0,existing-credit-paid-on-time,radio-television,3965.0,<100DM,<1yr,4.0,male,none,3.0,car,34.0,none,own,1.0,low-skill-employed,1.0,none,yes,risky
0-200DM,11.0,day-in-paying-credit,radio-television,4771.0,<100DM,4-7yr,2.0,male,none,4.0,insurance,51.0,none,own,1.0,low-skill-employed,1.0,none,yes,not-risky
no-account,54.0,all-credit-paid-on-time,used-car,9436.0,unknown-nosavings,1-4yr,2.0,male,none,2.0,insurance,39.0,none,own,1.0,unemployed(resident),2.0,none,yes,not-risky
0-200DM,30.0,existing-credit-paid-on-time,furniture,3832.0,<100DM,<1yr,2.0,male,none,1.0,insurance,22.0,none,own,1.0,low-skill-employed,1.0,none,yes,not-risky
no-account,24.0,existing-credit-paid-on-time,radio-television,5943.0,unknown-nosavings,<1yr,1.0,female,none,1.0,car,44.0,none,own,2.0,low-skill-employed,1.0,yes,yes,risky
no-account,15.0,existing-credit-paid-on-time,radio-television,1213.0,500-1000DM,7+yr,4.0,male,none,3.0,insurance,47.0,stores,own,1.0,low-skill-employed,1.0,yes,yes,not-risky
no-account,18.0,existing-credit-paid-on-time,buisness,1568.0,100-500DM,1-4yr,3.0,female,none,4.0,insurance,24.0,none,rent,1.0,unemployed(resident),1.0,none,yes,not-risky
owe-money,24.0,existing-credit-paid-on-time,others,1755.0,<100DM,7+yr,4.0,female,guarantor,4.0,real-estate,58.0,none,own,1.0,unemployed(resident),1.0,yes,yes,not-risky
owe-money,10.0,existing-credit-paid-on-time,radio-television,2315.0,<100DM,7+yr,3.0,male,none,4.0,real-estate,52.0,none,own,1.0,unemployed(resident),1.0,none,yes,not-risky
no-account,12.0,critical-accounts,buisness,1412.0,<100DM,1-4yr,4.0,female,guarantor,2.0,real-estate,29.0,none,own,2.0,high-skill-employed,1.0,yes,yes,not-risky
0-200DM,18.0,critical-accounts,furniture,1295.0,<100DM,<1yr,4.0,female,none,1.0,insurance,27.0,none,own,2.0,low-skill-employed,1.0,none,yes,not-risky
0-200DM,36.0,existing-credit-paid-on-time,education,12612.0,100-500DM,1-4yr,1.0,male,none,4.0,unknown,47.0,none,free,1.0,low-skill-employed,2.0,yes,yes,risky
owe-money,18.0,existing-credit-paid-on-time,new-car,2249.0,100-500DM,4-7yr,4.0,male,none,3.0,car,30.0,none,own,1.0,high-skill-employed,2.0,yes,yes,not-risky
owe-money,12.0,all-credit-paid-on-time,repairs,1108.0,<100DM,4-7yr,4.0,male,none,3.0,real-estate,28.0,none,own,2.0,low-skill-employed,1.0,none,yes,risky
no-account,12.0,critical-accounts,radio-television,618.0,<100DM,7+yr,4.0,male,none,4.0,real-estate,56.0,none,own,1.0,low-skill-employed,1.0,none,yes,not-risky
owe-money,12.0,critical-accounts,used-car,1409.0,<100DM,7+yr,4.0,male,none,3.0,real-estate,54.0,none,own,1.0,low-skill-employed,1.0,none,yes,not-risky
no-account,12.0,critical-accounts,radio-television,797.0,unknown-nosavings,7+yr,4.0,female,none,3.0,insurance,33.0,bank,own,1.0,unemployed(resident),2.0,none,yes,risky
200+DM,24.0,critical-accounts,furniture,3617.0,unknown-nosavings,7+yr,4.0,male,co-applicant,4.0,unknown,20.0,none,rent,2.0,low-skill-employed,1.0,none,yes,not-risky
0-200DM,12.0,existing-credit-paid-on-time,new-car,1318.0,1000+DM,7+yr,4.0,male,none,4.0,real-estate,54.0,none,own,1.0,low-skill-employed,1.0,yes,yes,not-risky
0-200DM,54.0,all-credit-paid-on-time,buisness,15945.0,<100DM,<1yr,3.0,male,none,4.0,unknown,58.0,none,rent,1.0,low-skill-employed,1.0,yes,yes,risky
no-account,12.0,critical-accounts,education,2012.0,unknown-nosavings,4-7yr,4.0,female,none,2.0,car,61.0,none,own,1.0,low-skill-employed,1.0,none,yes,not-risky
0-200DM,18.0,existing-credit-paid-on-time,buisness,2622.0,100-500DM,1-4yr,4.0,male,none,4.0,car,34.0,none,own,1.0,low-skill-employed,1.0,none,yes,not-risky
0-200DM,36.0,critical-accounts,radio-television,2337.0,<100DM,7+yr,4.0,male,none,4.0,real-estate,36.0,none,own,1.0,low-skill-employed,1.0,none,yes,not-risky
0-200DM,20.0,day-in-paying-credit,used-car,7057.0,unknown-nosavings,4-7yr,3.0,male,none,4.0,insurance,36.0,bank,rent,2.0,high-skill-employed,2.0,yes,yes,not-risky
no-account,24.0,existing-credit-paid-on-time,new-car,1469.0,100-500DM,7+yr,4.0,male,none,4.0,real-estate,41.0,none,rent,1.0,unemployed(resident),1.0,none,yes,not-risky
0-200DM,36.0,existing-credit-paid-on-time,radio-television,2323.0,<100DM,4-7yr,4.0,male,none,4.0,car,24.0,none,rent,1.0,low-skill-employed,1.0,none,yes,not-risky
no-account,6.0,day-in-paying-credit,radio-television,932.0,<100DM,1-4yr,3.0,female,none,2.0,real-estate,24.0,none,own,1.0,low-skill-employed,1.0,none,yes,not-risky
0-200DM,9.0,critical-accounts,furniture,1919.0,<100DM,4-7yr,4.0,male,none,3.0,car,35.0,none,rent,1.0,low-skill-employed,1.0,yes,yes,not-risky
no-account,12.0,existing-credit-paid-on-time,used-car,2445.0,unknown-nosavings,<1yr,2.0,male,none,4.0,car,26.0,none,rent,1.0,low-skill-employed,1.0,yes,yes,not-risky
0-200DM,24.0,critical-accounts,others,11938.0,<100DM,1-4yr,2.0,male,co-applicant,3.0,car,39.0,none,own,2.0,high-skill-employed,2.0,yes,yes,risky
no-account,18.0,cur-ank-all-credit-paid-on-time,new-car,6458.0,<100DM,7+yr,2.0,male,none,4.0,unknown,39.0,bank,own,2.0,high-skill-employed,2.0,yes,yes,risky
0-200DM,12.0,existing-credit-paid-on-time,new-car,6078.0,<100DM,4-7yr,2.0,male,none,2.0,car,32.0,none,own,1.0,low-skill-employed,1.0,none,yes,not-risky
owe-money,24.0,existing-credit-paid-on-time,furniture,7721.0,unknown-nosavings,<1yr,1.0,female,none,2.0,insurance,30.0,none,own,1.0,low-skill-employed,1.0,yes,no,not-risky
0-200DM,14.0,existing-credit-paid-on-time,buisness,1410.0,500-1000DM,7+yr,1.0,male,none,2.0,real-estate,35.0,none,own,1.0,low-skill-employed,1.0,yes,yes,not-risky
0-200DM,6.0,day-in-paying-credit,buisness,1449.0,100-500DM,7+yr,1.0,male,none,2.0,car,31.0,bank,own,2.0,low-skill-employed,2.0,none,yes,not-risky
200+DM,15.0,existing-credit-paid-on-time,education,392.0,<100DM,<1yr,4.0,female,none,4.0,insurance,23.0,none,rent,1.0,low-skill-employed,1.0,yes,yes,not-risky
0-200DM,18.0,existing-credit-paid-on-time,new-car,6260.0,<100DM,4-7yr,3.0,male,none,3.0,real-estate,28.0,none,rent,1.0,unemployed(resident),1.0,none,yes,not-risky
no-account,36.0,critical-accounts,new-car,7855.0,<100DM,1-4yr,4.0,female,none,2.0,real-estate,25.0,stores,own,2.0,low-skill-employed,1.0,yes,yes,risky
owe-money,12.0,existing-credit-paid-on-time,radio-television,1680.0,500-1000DM,7+yr,3.0,male,none,1.0,real-estate,35.0,none,own,1.0,low-skill-employed,1.0,none,yes,not-risky
no-account,48.0,critical-accounts,radio-television,3578.0,unknown-nosavings,7+yr,4.0,male,none,1.0,real-estate,47.0,none,own,1.0,low-skill-employed,1.0,yes,yes,not-risky
owe-money,42.0,existing-credit-paid-on-time,radio-television,7174.0,unknown-nosavings,4-7yr,4.0,female,none,3.0,car,30.0,none,own,1.0,high-skill-employed,1.0,yes,yes,risky
owe-money,10.0,critical-accounts,furniture,2132.0,unknown-nosavings,<1yr,2.0,female,co-applicant,3.0,real-estate,27.0,none,rent,2.0,low-skill-employed,1.0,none,no,not-risky
owe-money,33.0,critical-accounts,furniture,4281.0,500-1000DM,1-4yr,1.0,female,none,4.0,car,23.0,none,own,2.0,low-skill-employed,1.0,none,yes,risky
0-200DM,12.0,critical-accounts,new-car,2366.0,500-1000DM,4-7yr,3.0,male,none,3.0,car,36.0,none,own,1.0,high-skill-employed,1.0,yes,yes,not-risky
owe-money,21.0,existing-credit-paid-on-time,radio-television,1835.0,<100DM,1-4yr,3.0,female,none,2.0,real-estate,25.0,none,own,2.0,low-skill-employed,1.0,yes,yes,risky
no-account,24.0,critical-accounts,used-car,3868.0,<100DM,7+yr,4.0,female,none,2.0,car,41.0,none,rent,2.0,high-skill-employed,1.0,yes,yes,not-risky
no-account,12.0,existing-credit-paid-on-time,furniture,1768.0,<100DM,1-4yr,3.0,male,none,2.0,real-estate,24.0,none,rent,1.0,unemployed(resident),1.0,none,yes,not-risky
200+DM,10.0,critical-accounts,new-car,781.0,<100DM,7+yr,4.0,male,none,4.0,unknown,63.0,none,free,2.0,low-skill-employed,1.0,yes,yes,not-risky
0-200DM,18.0,existing-credit-paid-on-time,furniture,1924.0,unknown-nosavings,<1yr,4.0,female,none,3.0,real-estate,27.0,none,rent,1.0,low-skill-employed,1.0,none,yes,risky
owe-money,12.0,critical-accounts,new-car,2121.0,<100DM,1-4yr,4.0,male,none,2.0,insurance,30.0,none,own,2.0,low-skill-employed,1.0,none,yes,not-risky
owe-money,12.0,existing-credit-paid-on-time,radio-television,701.0,<100DM,1-4yr,4.0,male,none,2.0,real-estate,40.0,none,own,1.0,unemployed(resident),1.0,none,yes,not-risky
0-200DM,12.0,existing-credit-paid-on-time,repairs,639.0,<100DM,1-4yr,4.0,male,none,2.0,car,30.0,none,own,1.0,low-skill-employed,1.0,none,yes,risky
0-200DM,12.0,critical-accounts,used-car,1860.0,<100DM,unemployed,4.0,male,none,2.0,car,34.0,none,own,2.0,high-skill-employed,1.0,yes,yes,not-risky
owe-money,12.0,critical-accounts,new-car,3499.0,<100DM,1-4yr,3.0,female,co-applicant,2.0,real-estate,29.0,none,own,2.0,low-skill-employed,1.0,none,yes,risky
0-200DM,48.0,existing-credit-paid-on-time,new-car,8487.0,unknown-nosavings,4-7yr,1.0,female,none,2.0,car,24.0,none,own,1.0,low-skill-employed,1.0,none,yes,not-risky
owe-money,36.0,day-in-paying-credit,education,6887.0,<100DM,1-4yr,4.0,male,none,3.0,insurance,29.0,stores,own,1.0,low-skill-employed,1.0,yes,yes,risky
no-account,15.0,existing-credit-paid-on-time,furniture,2708.0,<100DM,<1yr,2.0,male,none,3.0,insurance,27.0,bank,own,2.0,unemployed(resident),1.0,none,yes,not-risky
no-account,18.0,existing-credit-paid-on-time,furniture,1984.0,<100DM,1-4yr,4.0,male,none,4.0,unknown,47.0,bank,free,2.0,low-skill-employed,1.0,none,yes,not-risky
no-account,60.0,existing-credit-paid-on-time,radio-television,10144.0,100-500DM,4-7yr,2.0,female,none,4.0,real-estate,21.0,none,own,1.0,low-skill-employed,1.0,yes,yes,not-risky
no-account,12.0,critical-accounts,radio-television,1240.0,unknown-nosavings,7+yr,4.0,female,none,2.0,real-estate,38.0,none,own,2.0,low-skill-employed,1.0,yes,yes,not-risky
no-account,27.0,day-in-paying-credit,used-car,8613.0,1000+DM,1-4yr,2.0,male,none,2.0,car,27.0,none,own,2.0,low-skill-employed,1.0,none,yes,not-risky
0-200DM,12.0,existing-credit-paid-on-time,radio-television,766.0,500-1000DM,1-4yr,4.0,male,none,3.0,real-estate,66.0,none,own,1.0,unemployed(resident),1.0,none,yes,risky
0-200DM,15.0,critical-accounts,radio-television,2728.0,unknown-nosavings,4-7yr,4.0,male,guarantor,2.0,real-estate,35.0,bank,own,3.0,low-skill-employed,1.0,yes,yes,not-risky
200+DM,12.0,existing-credit-paid-on-time,radio-television,1881.0,<100DM,1-4yr,2.0,female,none,2.0,car,44.0,none,rent,1.0,unemployed(resident),1.0,yes,yes,not-risky
200+DM,6.0,existing-credit-paid-on-time,new-car,709.0,1000+DM,<1yr,2.0,male,none,2.0,real-estate,27.0,none,own,1.0,unemployed(non-resident),1.0,none,no,not-risky
0-200DM,36.0,existing-credit-paid-on-time,radio-television,4795.0,<100DM,<1yr,4.0,female,none,1.0,unknown,30.0,none,own,1.0,high-skill-employed,1.0,yes,yes,not-risky
owe-money,27.0,existing-credit-paid-on-time,radio-television,3416.0,<100DM,1-4yr,3.0,male,none,2.0,car,27.0,none,own,1.0,high-skill-employed,1.0,none,yes,not-risky
owe-money,18.0,existing-credit-paid-on-time,furniture,2462.0,<100DM,1-4yr,2.0,male,none,2.0,car,22.0,none,own,1.0,low-skill-employed,1.0,none,yes,risky
no-account,21.0,critical-accounts,furniture,2288.0,<100DM,<1yr,4.0,female,none,4.0,insurance,23.0,none,own,1.0,low-skill-employed,1.0,yes,yes,not-risky
0-200DM,48.0,cur-ank-all-credit-paid-on-time,buisness,3566.0,100-500DM,4-7yr,4.0,male,none,2.0,car,30.0,none,own,1.0,low-skill-employed,1.0,none,yes,not-risky
owe-money,6.0,critical-accounts,new-car,860.0,<100DM,7+yr,1.0,female,none,4.0,unknown,39.0,none,own,2.0,low-skill-employed,1.0,yes,yes,not-risky
no-account,12.0,critical-accounts,new-car,682.0,100-500DM,4-7yr,4.0,female,none,3.0,car,51.0,none,own,2.0,low-skill-employed,1.0,yes,yes,not-risky
owe-money,36.0,critical-accounts,furniture,5371.0,<100DM,1-4yr,3.0,male,guarantor,2.0,insurance,28.0,none,own,2.0,low-skill-employed,1.0,none,yes,not-risky
no-account,18.0,critical-accounts,radio-television,1582.0,1000+DM,7+yr,4.0,male,none,4.0,car,46.0,none,own,2.0,low-skill-employed,1.0,none,yes,not-risky
no-account,6.0,existing-credit-paid-on-time,radio-television,1346.0,100-500DM,7+yr,2.0,male,none,4.0,unknown,42.0,bank,free,1.0,low-skill-employed,2.0,yes,yes,not-risky
